config,pipeline,model,keyframe,metric,total_time,speedup,search_pct,mean_psnr,mean_ssim,violation_rate,n_keyframes
Exact,BVD,???,???,???,2.7125649987719953,1.0,0.0,inf,1.0,0.0,0
IRA-psnr,BVD,IRA,fixed-10,psnr,2.9538157011847943,0.9183257431003459,2.3166949734809275,38.57080686032243,0.9418456718087391,0.06,10
IRA-ssim,BVD,IRA,fixed-10,ssim,4.775299799395725,0.5680407749719186,8.748724003071802,41.866399875349245,0.9784746816473203,0.0,10
VC-C-fixed-psnr,BVD,C,fixed,psnr,4.566418099682778,0.594024668691733,2.513788650097066,32.913726021676744,0.9014302403659075,0.4,4
VC-C-fixed-ssim,BVD,C,fixed,ssim,4.020748897921294,0.6746417315874605,4.769902440419176,32.49956931826732,0.9084676535432931,0.0,4
VC-C-scene_change-psnr,BVD,C,scene_change,psnr,4.5497241001576185,0.5962042838329521,3.6438099633065844,35.42117532105908,0.9257832132933881,0.3,7
VC-C-scene_change-ssim,BVD,C,scene_change,ssim,4.627231000456959,0.5862177614439646,7.627200798284463,34.754341933125716,0.9267920606528786,0.0,7
VC-CA-fixed-psnr,BVD,CA,fixed,psnr,4.551128300838172,0.5960203315455702,1.9747586506143986,36.90738302227036,0.9387369921839855,0.3,4
VC-CA-fixed-ssim,BVD,CA,fixed,ssim,4.5266324987169355,0.599245686399518,3.413559638877816,32.38406481353053,0.9077348778359428,0.0,4
VC-CA-scene_change-psnr,BVD,CA,scene_change,psnr,4.361350399907678,0.6219553005485217,2.774441144481119,42.86634554916108,0.9809094187542223,0.0,7
VC-CA-scene_change-ssim,BVD,CA,scene_change,ssim,4.609409100143239,0.5884843240943186,7.955186699977927,34.951662901885214,0.9281219616298526,0.0,7
VC-CAD-fixed-psnr,BVD,CAD,fixed,psnr,4.490557101322338,0.6040597942676699,1.9957991424569486,32.45815575325132,0.9077888395627847,0.45,4
VC-CAD-fixed-ssim,BVD,CAD,fixed,ssim,4.569782299920917,0.593587357283724,5.570123116165101,36.68288062736653,0.9430786807865266,0.0,4
VC-CAD-scene_change-psnr,BVD,CAD,scene_change,psnr,4.4819683998357505,0.6052173413073153,3.6341800175818078,35.45037661163798,0.9262862495462003,0.26,7
VC-CAD-scene_change-ssim,BVD,CAD,scene_change,ssim,4.432092598872259,0.6120280518196313,5.089746997710592,42.86634554916108,0.9809094187542223,0.0,7
