config,pipeline,model,keyframe,metric,total_time,speedup,search_pct,mean_psnr,mean_ssim,violation_rate,n_keyframes,video
Exact,BVD,???,???,???,3.887495000148192,1.0,0.0,inf,1.0,0.0,0,Trailer1
IRA-psnr,BVD,IRA,fixed-10,psnr,0.8848951999098063,4.393169948875786,7.879147728733144,37.18890483704518,0.951373172685278,0.0,10,Trailer1
IRA-ssim,BVD,IRA,fixed-10,ssim,1.3340576987247914,2.914038128833707,26.521409063753485,37.29329036227951,0.9592207291238419,0.0,10,Trailer1
VC-C-fixed-psnr,BVD,C,fixed,psnr,1.2788583994843066,3.039816606526419,9.723187489575373,30.555272695292505,0.8692887107432693,0.56,4,Trailer1
VC-C-fixed-ssim,BVD,C,fixed,ssim,1.1310142998117954,3.437175817136074,20.010233306470635,33.4179203687425,0.921245838032824,0.0,4,Trailer1
VC-C-scene_change-psnr,BVD,C,scene_change,psnr,1.7844963015522808,2.1784830805009654,13.879838266927585,31.8910411453058,0.8955581594360723,0.37,12,Trailer1
VC-C-scene_change-ssim,BVD,C,scene_change,ssim,1.385908401105553,2.8050158271983188,41.920851293264946,33.780461779443065,0.9271584763787516,0.0,12,Trailer1
VC-CA-fixed-psnr,BVD,CA,fixed,psnr,1.6674377007875592,2.331418438189362,5.964870518391291,31.8910411453058,0.8955581594360723,0.37,4,Trailer1
VC-CA-fixed-ssim,BVD,CA,fixed,ssim,2.0864060004241765,1.8632495302246281,10.161425919985097,33.79050028610246,0.9253032628120168,0.0,4,Trailer1
VC-CA-scene_change-psnr,BVD,CA,scene_change,psnr,1.0537593010812998,3.689167911646517,24.842770075289813,31.80004415398795,0.8957343249134078,0.41,12,Trailer1
VC-CA-scene_change-ssim,BVD,CA,scene_change,ssim,1.6565688983537257,2.346714950408358,28.83729740202918,33.662213607049615,0.9257508150457068,0.0,12,Trailer1
VC-CAD-fixed-psnr,BVD,CAD,fixed,psnr,1.0220736004412174,3.803537238873996,8.380668502623843,31.829164633484794,0.8959421205531356,0.39,4,Trailer1
VC-CAD-fixed-ssim,BVD,CAD,fixed,ssim,1.3697705012746155,2.8380630160532387,13.676904271269446,31.857729897990957,0.8959719080105779,0.0,4,Trailer1
VC-CAD-scene_change-psnr,BVD,CAD,scene_change,psnr,4.412859998643398,0.8809468239063297,4.539303307931597,40.571923925106915,0.9691681580460206,0.0,12,Trailer1
VC-CAD-scene_change-ssim,BVD,CAD,scene_change,ssim,4.176372600486502,0.9308305010178788,7.984565353337467,32.912129824346955,0.9075000833725518,0.0,12,Trailer1
