config,pipeline,model,keyframe,metric,total_time,speedup,search_pct,mean_psnr,mean_ssim,violation_rate,n_keyframes
Exact,BVD,???,???,???,0.03248359996359795,1.0,0.0,inf,1.0,0.0,0
IRA-psnr,BVD,IRA,fixed-10,psnr,0.015440799994394183,2.1037510993854722,13.745401663395269,47.574287230752205,0.9939578195689986,0.0,2
IRA-ssim,BVD,IRA,fixed-10,ssim,0.02361090003978461,1.3757882973060218,62.218721338411385,42.89505766798182,0.9905649482870054,0.0,2
VC-C-fixed-psnr,BVD,C,fixed,psnr,0.014662300003692508,2.2154505060882252,24.530940093323128,33.8027488914995,0.970041999562129,0.0,1
VC-C-fixed-ssim,BVD,C,fixed,ssim,0.017517799977213144,1.8543196066773262,22.378381150109323,42.68419157336017,0.9909966643342148,0.0,1
VC-C-scene_change-psnr,BVD,C,scene_change,psnr,0.019162499927915633,1.6951650403544867,57.18460540667324,41.99817183748807,0.9903766667880207,0.0,5
VC-C-scene_change-ssim,BVD,C,scene_change,ssim,0.06384759990032762,0.5087677534364337,76.29856112893026,44.97046123053745,0.9923956695243632,0.0,5
VC-CA-fixed-psnr,BVD,CA,fixed,psnr,0.04248019983060658,0.7646762513624954,4.453604215385551,47.80773658871858,0.9941819831937382,0.0,1
VC-CA-fixed-ssim,BVD,CA,fixed,ssim,0.04465039982460439,0.72750972200025,4.414518120989368,54.20716534890245,0.9968058908485764,0.0,1
VC-CA-scene_change-psnr,BVD,CA,scene_change,psnr,0.049496399937197566,0.6562820731369163,20.72150700984812,45.14829243286216,0.9927554785480011,0.0,5
VC-CA-scene_change-ssim,BVD,CA,scene_change,ssim,0.05857410002499819,0.5545727539942507,70.14106899761805,45.39177883468195,0.9926789283146815,0.0,5
VC-CAD-fixed-psnr,BVD,CAD,fixed,psnr,0.023869299795478582,1.3608945483080792,13.313754533819678,42.378179835139576,0.9906491876218837,0.0,1
VC-CAD-fixed-ssim,BVD,CAD,fixed,ssim,0.045544999884441495,0.71321989342445,10.221758855699113,45.14829243286216,0.9927554785480011,0.0,1
VC-CAD-scene_change-psnr,BVD,CAD,scene_change,psnr,0.04582999984268099,0.7087846405215634,54.60331699944823,33.8027488914995,0.970041999562129,0.0,5
VC-CAD-scene_change-ssim,BVD,CAD,scene_change,ssim,0.062180199776776135,0.5224106722109688,71.82543650096403,45.231328764284584,0.9924641243671412,0.0,5
